artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_NA,mode_Major,mode_Minor,new_releases_2010,all_playlists,log_in_spotify_playlists,log_in_apple_playlists,log_in_deezer_playlists,log_all_playlists,log_speechiness_%,log_danceability_%
2,2023,2,10,692,25,354495408.0,10,107,6,3,62,144,56,84,65,23,0,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,708,6.541029999189903,2.3978952727983707,1.9459101490553132,6.5638555265321274,1.9459101490553132,4.04305126783455
2,2018,10,9,24094,78,2808096550.0,372,117,843,4,69,90,76,91,50,54,0,7,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,25309,10.089759629074432,5.921578419643816,6.738152494595957,10.13895485353917,1.791759469228055,4.343805421853684
2,2022,8,26,12482,80,1109433169.0,291,184,537,45,727,128,56,38,97,4,0,35,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,13310,9.432122997651051,5.676753802268282,6.2878585601617845,9.496346040047019,1.6094379124341003,4.04305126783455
3,2017,7,21,13387,64,1047101291.0,77,58,247,1,311,79,56,58,56,37,0,11,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,13711,9.502114062331216,4.356708826689592,5.5134287461649825,9.52602664083756,2.3978952727983707,4.04305126783455
3,2023,6,23,1117,80,65156199.0,82,145,65,16,1133,144,77,75,58,52,0,23,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1264,7.0192966537150445,4.418840607796598,4.189654742026425,7.142827401161621,3.258096538021482,4.356708826689592
1,2020,11,27,3372,19,570515054.0,65,48,138,1,102,122,67,49,64,10,0,10,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3575,8.12355783506165,4.189654742026425,4.9344739331306915,8.182000136293405,1.3862943611198906,4.219507705176107
1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,71,82,81,11,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,9130,9.039789270781144,5.488937726156687,6.129050210060545,9.11943049661634,1.791759469228055,4.276666119016055
1,2016,11,24,2483,59,1647990401.0,68,21,24,0,259,134,59,51,52,9,0,15,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2575,7.81762544305337,4.23410650459726,3.2188758248682006,7.853993087224244,2.0794415416798357,4.0943445622221
2,2016,9,21,29536,79,2565529693.0,281,137,2445,1,140,186,68,49,59,16,0,13,28,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,32262,10.293398993717526,5.641907070938114,7.802209316247118,10.381676341775822,3.367295829986474,4.23410650459726
2,2023,2,24,3408,47,518745108.0,87,86,74,1,16,67,53,50,53,23,0,44,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3569,8.134174272137903,4.477336814478207,4.31748811353631,8.180320874773685,2.0794415416798357,3.9889840465642745
